,WT_HTB-22,WT_HTB-123,WT_HTB-25,WT_CRL-1897,MUT_HCC1187,MUT_HCC1419,MUT_HCC1954,MUT_HCC2157,MUT_HCC2998,MUT_MFM-SS3
MSH2,-0.394720539,-0.458591967,0.575762346,1.307957879,-1.921949262,-0.435047264,0.121618291,0.024463336,-1.541434977,1.840692733
MPP3,1.833566473,0.749789903,-1.224691469,1.577478231,1.971506799,1.574954362,2.140772862,0.074246596,1.107332747,0.625739195
MPP2,-8.15455534,-9.452929259,-12.65701961,-6.617261347,-8.671643269,-5.720331986,-12.52903367,-18.94340781,-8.675079162,-12.34513831
MPP1,1.126795685,1.582139856,-0.285883523,0.129401895,1.690681933,1.390088631,1.124291173,0.189261239,-0.291001641,2.565479604
MOS,0.987640803,1.103094831,-2.781069939,0.712925854,1.870462712,2.099200409,1.673949911,-1.09967646,-0.173130064,0.156169457
MLH1,-3.256711995,-0.622958993,-1.126861488,0.367567649,-0.096410378,-2.653205421,-0.410360783,-0.293909469,2.74798675,-1.3215787
MLCK,-2.313027644,-0.621718551,-3.422996282,-0.925870137,-1.76056306,-4.449769933,-2.245895622,-0.488977408,-2.042671681,-4.083490787
MKNK2,-0.690449583,-1.156925106,0.974486825,0.479598058,-0.126377766,0.968868864,0.356824921,0.009311698,-0.081633102,0.283823029
MKNK1,0.320317005,-1.421223181,1.341558586,-0.185629647,0.162192649,-1.067540339,0.910883966,0.797487625,1.098216192,0.964455821
MINK,1.221428312,1.411387634,0.505678577,1.329516204,1.697824997,2.091678538,2.201193338,0.173919941,1.43969985,0.982178507
MIDORI,-2.228940977,-5.782884054,-0.022198578,-1.064808271,-1.185411067,-1.658919186,-2.721962093,-1.064391053,-2.272258251,0.310048265
MGC8407,1.549535884,-1.854040984,-1.437796024,0.826217198,0.106692278,-0.492523817,-1.283855652,-1.261374053,-0.427976011,-1.258304729
MGC4796,1.014365226,1.288910887,2.300164797,-1.294296119,0.448445335,1.721219969,-0.468357254,1.28410126,-0.523967316,-1.256495675
MGC4796,0.032105549,2.31336506,-0.464171216,-3.115562642,0.53387566,-0.222949463,0.406901814,0.311908481,0.401173805,0.721216629
MGC45428,1.062104685,-0.193717754,0.868188941,-0.060450885,0.100453345,0.672986235,-0.268538397,0.046081649,-0.194101849,0.686446852
MGC42105,-0.865599394,-0.752545315,-0.31897943,-1.109320269,1.666734698,-2.119539281,0.996123365,-0.458420294,-2.10505524,1.400341393
MGC16169,-1.40440215,-4.051484493,-0.312701688,-2.489343048,-1.076631006,-1.095396195,-3.31983451,-2.44267668,0.923966287,-1.058752923
MET,1.222308599,1.126819131,0.016297976,1.669259287,1.639310648,2.084779281,2.322265406,-0.109422144,1.412360634,1.029976583
MERTK,0.29866287,-0.538767574,-5.976096597,-3.02042295,-1.41266273,-1.01298764,1.594776901,-2.358665227,-3.987048968,-0.115123773
MEN1,-1.141269475,-2.74704378,-2.882470696,-2.923301368,-0.581804475,-0.266593253,-2.83166687,-4.662640603,0.024452822,-1.867785042
MELK,1.163222852,1.667889374,-0.211379306,1.642842356,1.803080294,2.170946406,2.357080972,0.831448682,0.785934118,0.734957228
MATK,1.308661769,0.54665308,-0.591393978,1.404663992,1.681687933,2.574318009,0.734689436,0.076501662,0.020570921,1.713713941
MASTL,-1.292851931,3.137896057,0.991933825,1.213544659,1.082566485,0.174025114,0.034826269,1.325842363,0.812066541,-1.061417244
MAST4,-8.7096242,-7.063926416,-14.20537571,-7.840942498,-9.212728464,-6.368627381,-14.25117364,-15.82210432,-7.583547022,-14.02467794
MAST3,-1.979318419,1.318468595,1.346759604,-0.734741449,0.387665726,-0.197949845,-2.300442294,-1.515300939,1.026023553,-1.521597987
MAST2,1.623441257,1.288324706,-1.779142066,1.551418491,1.713528997,1.361531173,2.064775357,0.224089731,1.304412848,0.594278935
MARK4,1.183241621,1.819567363,0.760511548,1.65411329,1.875142805,2.168559869,2.27164199,0.606186488,1.843197367,1.058785856
MARK3,1.8065724,1.993676583,-0.017008438,0.365348377,-0.450242634,0.805498897,1.620900749,-0.571337587,-1.776126479,2.597275306
MARK2,0.462139155,0.25721815,0.484866717,2.268060012,1.669861031,1.126467071,2.103501769,2.066421565,-0.502386939,1.442803733
MARK1,1.274469039,1.546905399,0.007104376,1.906284306,1.65856575,2.049542265,2.415366273,0.222702759,1.964778295,1.070463525
MAPKAPK5,2.036833389,0.247739758,0.214635808,1.295287924,1.688314109,2.149991406,0.238330523,-0.705640642,-2.762453138,0.82142159
MAPKAPK3,-2.512415095,0.057772206,-0.697549875,0.107383246,-1.960528438,0.524384919,-0.05504044,0.745152584,0.872101718,-1.328764584
MAPKAPK2,0.878761466,0.309192373,1.886321311,1.343290052,1.897084764,1.367818437,1.108810531,2.752087067,-0.411877097,2.831374625
MAPK9,-1.226982409,-0.248821844,0.4798027,0.364049147,-1.852284913,0.985984528,0.892186149,-0.023029024,0.409079926,1.656232891
MAPK8,1.184289323,1.291889299,0.488979838,1.677548719,1.597574675,2.03835812,2.33206061,0.297187575,1.638078715,0.923141206
MAPK7,-7.609532146,-8.568256352,-14.14826534,-6.128846106,-8.765862674,-6.291776405,-13.77221257,-17.28150878,-7.181351809,-12.60432249
MAPK6,1.441356431,0.706429398,1.086145386,-3.624542824,1.365400115,-1.014491991,1.019636264,0.240491146,0.709022966,1.687221275
MAPK4,1.665921774,-3.06879195,0.980196515,0.051297535,1.288862416,0.835562495,-0.504873767,1.004458048,0.390000966,0.27815481
MAPK3,0.867239454,0.840868822,-1.618450589,1.140685677,-0.620111084,0.000139522,0.604062412,2.352994336,1.05714383,1.718956004
MAPK14,-7.352176838,-9.227945556,-11.83386797,-6.407713612,-8.143997455,-5.472224531,-12.84997028,-15.09851126,-7.161618149,-12.91257889
MAPK13,-3.356833474,-1.75043178,-12.57860981,-1.239147313,0.178957052,-2.651617987,-1.71238127,-9.813876487,-1.716825978,-0.647355206
MAPK12,0.344427985,0.391088394,0.714070677,0.802576946,0.01313898,0.91667241,2.222933434,1.658278927,1.311738995,-0.476797684
MAPK11,1.654187164,1.969519057,1.313232478,-2.738557567,0.154716808,-0.572213157,-0.796515298,1.293916502,0.281816246,-1.349780622
MAPK10,0.864948921,-0.027554569,-2.735433792,-0.164409136,1.188701954,-0.145775225,-0.254777823,-1.239168755,-0.896179718,2.09892735
MAPK1,1.455613515,1.245310962,-2.187266713,1.21725274,-0.183537775,0.923233448,1.694538026,0.902083305,1.646109252,0.940748259
MAP4K5,-0.582009816,0.694143031,-0.064421978,2.341710601,0.091310464,-0.166120503,2.480949374,1.296861633,1.240564703,1.715084818
MAP4K4,1.254267393,1.837309941,-0.719036433,1.5957629,1.667873972,2.188821132,2.236039772,-0.169485117,1.897341866,0.959834691
MAP4K3,1.153996796,1.474704871,-0.585927973,1.523038937,1.824116577,1.87478155,1.955260678,0.111962707,1.418384794,0.558378476
MAP4K2,1.660090176,-0.507574686,0.16887043,0.373668564,1.667243759,0.578289471,0.931265286,-2.537197198,-1.54618379,-0.347814586
MAP4K1,1.636774964,0.306489258,-0.743782131,0.289872681,1.863503744,2.160503731,-0.011922156,0.29767027,0.585384992,-0.000729023
MAP3K9,-2.185472804,0.352804,-0.821701414,1.41867267,-1.381574509,1.194196783,0.481770013,-0.223298579,-0.01588241,1.59334774
MAP3K8,1.081334228,0.57643867,-2.158761655,1.286313734,1.768797183,1.611524269,2.011410136,-1.534825747,0.646352753,0.590652985
MAP3K7IP1,1.274660016,1.575166393,0.061165908,2.057779763,1.723898685,2.208313598,2.392343714,0.785878395,1.31901852,1.022274996
MAP3K7,-0.040052676,3.236906971,2.512377854,1.715961861,0.763372357,0.791996442,2.710056745,2.42882337,0.863541023,0.404685694
MAP3K6,1.24327472,0.71619371,-0.60453077,1.038619468,1.883228664,1.822712706,1.575905199,-0.298425676,0.328330214,0.670059893
MAP3K5,-0.543637916,2.588318764,0.831656489,-2.187861062,0.520061629,-0.344401668,0.354634869,2.310583998,1.777867913,0.412859144
